datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,MIDATL,JC,JC,2252.055,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,MIDATL,ME,ME,1857.194,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,WEST,ATSI,OE,7108.132,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,WEST,OVEC,OVEC,49.000,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,WEST,ATSI,PAPWR,618.602,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,MIDATL,PE,PE,4151.946,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,MIDATL,PEP,PEPCO,2701.496,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,MIDATL,PL,PLCO,4844.153,False
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,MIDATL,PN,PN,2115.038,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,MIDATL,PS,PS,4488.544,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,MIDATL,RECO,RECO,133.334,False
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,MIDATL,PEP,SMECO,467.358,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,MIDATL,PL,UGI,121.559,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RFC,MIDATL,AE,VMEU,76.820,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,RTO,RTO,RTO,RTO,93057.110,False
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,MIDATL,AE,AECO,1036.181,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,WEST,AEP,AEPAPT,5645.782,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,WEST,AEP,AEPIMP,3297.123,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,WEST,AEP,AEPKPT,890.308,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,WEST,AEP,AEPOPT,7388.045,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,WEST,AP,AP,6766.887,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,MIDATL,BC,BC,3933.035,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,WEST,CE,CE,10977.720,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,WEST,DAY,DAY,2316.000,False
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,WEST,DEOK,DEOK,3427.087,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,SERC,SOUTH,DOM,DOM,15089.249,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,MIDATL,DPL,DPLCO,2485.538,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,WEST,DUQ,DUQ,1523.052,False
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,MIDATL,DPL,EASTON,34.947,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,SERC,WEST,EKPC,EKPC,2378.262,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,MIDATL,JC,JC,2496.564,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,MIDATL,ME,ME,2056.857,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,WEST,ATSI,OE,7636.922,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,WEST,OVEC,OVEC,42.000,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,WEST,ATSI,PAPWR,669.682,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,MIDATL,PE,PE,4473.403,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,MIDATL,PEP,PEPCO,3012.602,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,MIDATL,PL,PLCO,5347.037,False
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,MIDATL,PN,PN,2325.074,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,MIDATL,PS,PS,4895.321,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,MIDATL,RECO,RECO,147.239,False
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,MIDATL,PEP,SMECO,520.037,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,MIDATL,PL,UGI,135.735,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RFC,MIDATL,AE,VMEU,84.368,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,RTO,RTO,RTO,RTO,101032.057,False
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,MIDATL,AE,AECO,1066.071,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,WEST,AEP,AEPAPT,5878.640,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,WEST,AEP,AEPIMP,3513.378,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,WEST,AEP,AEPKPT,928.729,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,WEST,AEP,AEPOPT,7650.258,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,WEST,AP,AP,6976.430,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,MIDATL,BC,BC,4062.468,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,WEST,CE,CE,11853.296,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,WEST,DAY,DAY,2437.000,False
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,WEST,DEOK,DEOK,3606.343,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,SERC,SOUTH,DOM,DOM,15594.448,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,MIDATL,DPL,DPLCO,2573.575,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,WEST,DUQ,DUQ,1606.233,False
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,MIDATL,DPL,EASTON,37.420,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,SERC,WEST,EKPC,EKPC,2438.230,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,MIDATL,JC,JC,2600.603,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,MIDATL,ME,ME,2121.159,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,WEST,ATSI,OE,7942.011,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,WEST,OVEC,OVEC,41.000,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,WEST,ATSI,PAPWR,691.804,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,MIDATL,PE,PE,4719.977,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,MIDATL,PEP,PEPCO,3228.351,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,MIDATL,PL,PLCO,5587.134,False
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,MIDATL,PN,PN,2449.971,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,MIDATL,PS,PS,5089.323,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,MIDATL,RECO,RECO,158.089,False
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,MIDATL,PEP,SMECO,533.764,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,MIDATL,PL,UGI,142.499,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RFC,MIDATL,AE,VMEU,87.146,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,RTO,RTO,RTO,RTO,105615.350,False
12/1/2022 1:00:00 PM,12/1/2022 8:00:00 AM,RFC,MIDATL,AE,AECO,985.367,True
12/1/2022 1:00:00 PM,12/1/2022 8:00:00 AM,RFC,WEST,AEP,AEPAPT,5735.924,True
12/1/2022 1:00:00 PM,12/1/2022 8:00:00 AM,RFC,WEST,AEP,AEPIMP,3442.125,True
12/1/2022 1:00:00 PM,12/1/2022 8:00:00 AM,RFC,WEST,AEP,AEPKPT,930.781,True
